week,AUT,BEL,BGR,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HUN,IRL,ITA,LTU,LUX,LVA,NLD,POL,PRT,ROU,SVK,SWE,mean
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,2.4,2.4,0.0,0.0,0.0,0.0,5.2,5.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,3.2,1.6,0.0,0.0,0.0,0.9
2020-01-31,0.0,7.2,0.0,0.0,14.3,5.6,0.0,4.8,0.0,5.6,12.3,7.2,0.0,0.0,0.0,10.7,0.0,0.0,1.2,0.0,5.6,11.1,3.6,2.8,0.0,3.7
2020-02-07,0.0,11.1,2.8,0.0,16.7,5.6,0.0,11.1,0.0,10.3,13.9,11.1,0.0,0.0,4.8,19.4,0.0,0.0,2.8,0.0,5.6,11.1,5.6,2.8,0.0,5.4
2020-02-14,0.0,11.1,7.5,0.0,16.7,9.5,0.0,11.1,0.0,13.9,13.9,11.1,0.0,0.0,5.6,19.4,0.0,0.0,2.8,0.0,5.6,11.1,5.6,2.8,0.0,5.9
2020-02-21,0.0,11.1,8.3,0.0,16.7,11.1,0.0,11.1,0.0,13.9,13.9,11.1,0.0,0.0,5.6,30.3,0.0,0.0,2.8,0.0,5.6,11.1,5.6,2.8,0.0,6.4
2020-02-28,11.1,11.1,13.9,0.0,17.9,17.9,6.3,11.1,0.0,17.0,22.2,11.1,11.9,3.2,7.2,69.9,6.4,0.0,5.9,0.0,8.7,11.1,15.1,2.8,0.0,11.3
2020-03-06,11.1,13.1,18.1,6.3,19.4,25.0,21.4,11.1,0.0,19.4,46.8,11.1,24.7,11.1,11.1,73.2,11.1,6.3,8.3,0.8,11.1,11.1,18.7,11.1,0.0,16.1
2020-03-13,35.5,28.2,35.6,28.6,46.9,32.3,46.8,48.9,16.7,27.9,48.4,11.9,41.2,43.4,28.3,83.3,29.4,33.9,27.0,32.4,36.3,28.0,49.2,48.9,14.3,36.1
2020-03-20,85.2,70.4,66.4,51.8,79.6,56.3,70.3,71.4,49.2,56.2,84.0,35.4,64.9,67.6,48.2,88.0,81.5,78.5,55.7,66.8,57.4,63.4,63.1,75.0,24.1,64.4
2020-03-27,85.2,81.5,73.2,88.4,82.4,76.8,72.2,71.8,63.5,58.2,88.0,79.4,84.3,70.8,64.0,91.7,81.5,79.6,62.0,74.1,57.4,82.4,77.6,75.0,31.7,74.1
2020-04-03,85.2,81.5,71.8,92.6,77.7,76.8,72.2,85.2,77.8,60.2,88.0,79.6,84.3,76.8,85.2,91.7,81.5,79.6,65.7,78.8,78.1,82.4,86.2,75.0,40.7,78.2
2020-04-10,85.2,81.5,71.3,92.6,74.1,76.8,72.2,85.2,77.8,60.2,88.0,79.6,84.3,76.8,90.7,90.9,83.9,79.6,65.7,79.6,82.5,85.6,87.0,83.6,46.3,79.2
2020-04-17,82.0,81.5,72.7,93.6,71.7,76.8,69.6,85.2,77.8,58.2,88.0,79.6,84.3,76.8,90.7,93.5,82.3,79.6,65.7,79.6,83.3,83.2,87.0,76.7,46.3,78.6
2020-04-24,79.9,81.5,73.2,94.4,60.7,76.8,68.5,85.2,77.8,57.4,88.0,79.6,84.3,76.8,90.7,93.5,81.5,70.4,65.7,79.6,83.3,82.4,87.0,73.7,46.3,77.5
2020-05-01,74.7,81.5,73.2,94.4,57.4,76.6,68.5,85.2,75.0,57.4,88.0,79.6,84.3,76.8,90.7,93.5,77.8,70.4,65.7,79.6,83.3,84.8,87.0,73.2,46.3,77.0
2020-05-08,64.8,79.1,64.4,92.6,57.4,66.8,67.3,81.9,71.4,57.4,88.0,79.6,73.5,63.0,90.7,63.0,77.8,70.4,65.7,79.6,83.3,75.0,87.0,73.2,46.3,72.8
2020-05-15,59.3,75.0,61.8,92.6,57.4,63.6,65.7,82.3,59.8,53.7,76.8,73.2,68.5,63.0,90.7,64.1,75.0,56.5,59.8,68.5,83.3,75.0,77.1,73.2,46.3,68.9
2020-05-22,55.6,75.0,59.7,83.6,57.4,60.0,65.7,77.6,50.0,50.9,76.8,71.3,68.5,63.0,83.3,63.9,71.3,56.5,57.4,68.5,83.3,71.3,75.0,73.2,46.3,66.6
2020-05-29,53.2,75.0,54.0,76.8,45.4,59.7,63.0,69.7,50.0,48.5,75.3,70.5,66.6,63.0,83.3,63.9,69.2,43.5,57.4,68.5,75.4,71.3,75.0,73.2,46.3,63.9
2020-06-05,45.8,74.2,44.4,76.8,41.7,59.7,63.0,66.7,38.0,41.7,72.6,67.6,54.6,63.0,78.5,48.4,52.8,43.5,57.4,63.0,55.3,70.5,57.4,56.3,46.3,57.6
2020-06-12,43.5,51.8,40.5,64.2,41.7,59.7,63.0,57.4,38.0,41.7,72.2,73.2,54.6,63.0,72.2,47.6,52.8,40.4,49.5,63.0,53.7,69.9,57.4,45.1,44.7,54.4
2020-06-19,43.5,51.8,37.7,63.0,40.8,61.8,63.0,54.8,38.0,30.0,72.2,71.3,40.7,58.6,72.2,55.6,36.9,38.0,46.3,59.3,50.9,69.9,44.3,39.9,38.9,51.2
2020-06-26,43.5,51.8,36.1,51.7,35.2,63.4,63.0,39.4,34.3,29.6,51.8,71.3,44.7,52.8,57.9,55.6,30.6,32.0,46.3,59.3,50.9,71.5,41.7,38.0,38.9,47.7
2020-07-03,43.5,49.2,36.1,47.2,36.4,63.4,63.0,43.9,23.0,29.6,51.8,70.9,43.9,52.8,38.9,55.6,27.8,24.1,46.3,45.4,50.9,68.7,41.7,38.0,38.9,45.2
2020-07-10,38.4,48.2,42.0,47.2,34.7,56.3,61.0,55.1,22.2,37.5,44.7,64.4,46.3,52.8,38.9,57.1,27.8,24.1,46.3,39.8,44.6,65.7,44.3,38.0,38.9,44.7
2020-07-17,31.5,48.2,31.4,47.2,35.5,55.1,60.2,61.7,22.2,41.1,43.5,64.4,57.4,52.8,38.9,58.3,27.8,17.9,46.3,39.8,39.8,69.2,45.4,38.0,38.9,44.5
2020-07-24,31.5,48.2,27.8,47.2,37.5,55.1,60.2,64.4,22.2,38.0,43.5,64.4,57.4,52.8,38.9,58.3,27.8,19.4,46.3,39.8,39.8,71.8,45.4,38.0,38.9,44.6
2020-07-31,31.5,57.8,31.8,47.2,36.1,56.3,59.1,64.4,19.8,38.0,43.5,65.5,54.2,52.8,38.9,48.2,30.6,21.8,46.3,39.8,39.8,66.2,45.4,35.2,38.1,44.3
2020-08-07,31.5,60.3,31.0,47.2,36.1,57.9,56.5,64.4,19.4,38.0,43.5,68.1,46.3,52.8,44.8,49.0,25.8,24.6,46.3,39.8,39.8,65.3,45.4,35.2,37.0,44.2
2020-08-14,31.5,58.4,30.6,47.2,36.1,56.9,56.5,61.4,19.4,38.0,43.5,66.0,52.6,49.6,59.7,50.9,19.4,29.8,46.3,39.8,39.8,66.2,45.4,34.8,37.0,44.7
2020-08-21,31.5,56.5,30.6,48.0,36.1,56.9,56.5,62.5,19.4,38.0,43.5,64.4,56.0,49.1,69.2,50.9,19.4,30.6,43.5,44.1,39.8,66.2,45.4,32.4,37.0,46.0
2020-08-28,31.5,56.5,30.6,50.0,36.1,59.7,56.5,62.5,19.4,38.0,43.5,64.4,56.0,49.1,70.8,50.9,19.4,30.6,43.5,45.4,39.8,66.2,45.4,32.4,37.0,45.2
